state,year,condition,instrument,measure,question_id,orientation,strat_category,strat_group,value,ci_lo,ci_hi,unit,suppressed,no_data,caution,footnote_symbol,footnote
MO,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.0,9.0,11.2,%,False,False,False,,
MS,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.5,9.3,11.8,%,False,False,False,,
MS,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.3,8.4,10.3,%,False,False,False,,
MS,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.4,9.1,11.8,%,False,False,False,,
MS,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.4,8.2,10.7,%,False,False,False,,
MS,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,7.1,6.2,8.1,%,False,False,False,,
MT,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.8,9.8,11.8,%,False,False,False,,
MT,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.3,10.3,12.4,%,False,False,False,,
MT,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.8,9.8,11.9,%,False,False,False,,
MT,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.0,10.9,13.1,%,False,False,False,,
MT,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.1,11.0,13.3,%,False,False,False,,
NC,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.6,7.7,9.7,%,False,False,False,,
NC,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.2,7.4,9.2,%,False,False,False,,
NC,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.9,7.9,10.0,%,False,False,False,,
NC,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.3,8.1,10.6,%,False,False,False,,
NC,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.8,8.5,11.3,%,False,False,False,,
ND,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.9,7.8,10.2,%,False,False,False,,
ND,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.5,8.2,10.9,%,False,False,False,,
ND,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.3,8.3,10.4,%,False,False,False,,
ND,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.5,9.3,11.8,%,False,False,False,,
