LocationAbbr,YearStart,Topic,hospitalization,mortality,prevalence,hospitalization_lo,mortality_lo,prevalence_lo,hospitalization_hi,mortality_hi,prevalence_hi
NH,2021,Diabetes,,76.0,7.3,,72.0,6.5,,80.0,8.2
NH,2022,Asthma,,1.4,13.5,,0.9,12.1,,2.1,15.0
NH,2022,Cardiovascular Disease,17.53,147.5,,16.93,142.1,,18.13,152.9,
NH,2022,Chronic Obstructive Pulmonary Disease,2.7,98.9,5.6,2.47,91.5,4.9,2.94,106.2,6.4
NH,2022,Diabetes,,73.3,8.2,,69.5,7.4,,77.1,9.1
NH,2023,Asthma,,,12.4,,,11.1,,,14.0
NH,2023,Cardiovascular Disease,,,28.4,,,26.8,,,29.9
NH,2023,Chronic Obstructive Pulmonary Disease,,,6.4,,,5.5,,,7.5
NH,2023,Diabetes,,,7.9,,,7.1,,,8.8
NJ,2019,Asthma,,1.2,,,0.9,,,1.4,
NJ,2019,Cardiovascular Disease,28.46,158.0,,28.12,155.7,,28.8,160.3,
NJ,2019,Chronic Obstructive Pulmonary Disease,8.87,71.1,,8.68,68.4,,9.06,73.7,
NJ,2019,Diabetes,,49.7,,,48.4,,,51.0,
NJ,2020,Asthma,,1.3,9.4,,1.1,8.7,,1.6,10.2
NJ,2020,Cardiovascular Disease,22.24,166.3,,21.94,164.0,,22.55,168.7,
NJ,2020,Chronic Obstructive Pulmonary Disease,5.2,67.4,4.4,5.05,64.9,3.9,5.34,70.0,4.9
NJ,2020,Diabetes,,74.2,8.7,,72.6,8.0,,75.7,9.3
NJ,2021,Asthma,,1.2,10.0,,1.0,9.0,,1.4,11.0
NJ,2021,Cardiovascular Disease,26.58,157.5,27.6,26.24,155.2,26.5,26.91,159.8,28.8
NJ,2021,Chronic Obstructive Pulmonary Disease,5.68,55.9,4.8,5.52,53.6,4.3,5.83,58.2,5.4
NJ,2021,Diabetes,,59.0,8.8,,57.6,8.1,,60.4,9.6
NJ,2022,Asthma,,0.9,8.8,,0.8,8.0,,1.1,9.7
NJ,2022,Cardiovascular Disease,26.06,152.8,,25.73,150.6,,26.39,155.0,
NJ,2022,Chronic Obstructive Pulmonary Disease,6.54,58.9,4.9,6.37,56.6,4.2,6.7,61.2,5.7
NJ,2022,Diabetes,,54.0,9.5,,52.7,8.6,,55.3,10.5
NJ,2023,Asthma,,,8.5,,,7.7,,,9.4
NJ,2023,Cardiovascular Disease,,,30.2,,,28.9,,,31.5
NJ,2023,Chronic Obstructive Pulmonary Disease,,,3.9,,,3.4,,,4.4
NJ,2023,Diabetes,,,9.1,,,8.4,,,9.9
NM,2019,Asthma,,1.0,9.2,,0.7,8.2,,1.6,10.3
NM,2019,Cardiovascular Disease,17.49,158.2,28.9,16.9,153.4,27.4,18.08,163.0,30.4
NM,2019,Chronic Obstructive Pulmonary Disease,5.87,111.3,5.0,5.53,104.6,4.3,6.2,118.0,5.7
NM,2019,Diabetes,,73.6,11.1,,70.3,10.1,,76.9,12.2
NM,2020,Asthma,,1.6,10.5,,1.1,9.4,,2.2,11.8
NM,2020,Cardiovascular Disease,13.78,152.7,,13.26,148.0,,14.31,157.4,
NM,2020,Chronic Obstructive Pulmonary Disease,3.43,113.1,4.3,3.17,106.4,3.7,3.69,119.8,4.9
NM,2020,Diabetes,,102.0,11.2,,98.1,10.1,,105.9,12.4
NM,2021,Asthma,,1.0,11.1,,0.7,10.1,,1.5,12.3
NM,2021,Cardiovascular Disease,15.78,156.5,30.2,15.22,151.6,28.8,16.35,161.3,31.6
NM,2021,Chronic Obstructive Pulmonary Disease,3.29,101.9,4.8,3.04,95.5,4.2,3.55,108.4,5.4
NM,2021,Diabetes,,110.5,12.0,,106.4,11.0,,114.6,13.1
NM,2022,Asthma,,1.1,10.5,,0.7,9.3,,1.6,11.8
NM,2022,Cardiovascular Disease,17.04,156.8,,16.45,152.1,,17.63,161.5,
NM,2022,Chronic Obstructive Pulmonary Disease,3.82,107.3,4.8,3.54,100.9,4.1,4.1,113.8,5.6
NM,2022,Diabetes,,102.1,11.2,,98.2,10.0,,106.0,12.4
NM,2023,Asthma,,,10.0,,,8.3,,,12.1
NM,2023,Cardiovascular Disease,,,31.1,,,28.8,,,33.4
NM,2023,Chronic Obstructive Pulmonary Disease,,,4.2,,,3.5,,,5.1
NM,2023,Diabetes,,,10.8,,,9.3,,,12.6
NV,2019,Asthma,,0.8,9.9,,0.5,8.5,,1.2,11.5
NV,2019,Cardiovascular Disease,23.22,198.1,30.5,22.62,193.3,28.3,23.83,202.8,32.8
NV,2019,Chronic Obstructive Pulmonary Disease,7.39,132.8,7.3,7.06,126.2,6.2,7.73,139.3,8.7
NV,2019,Diabetes,,63.4,10.0,,60.8,8.6,,66.1,11.7
NV,2020,Asthma,,1.4,9.6,,1.0,8.2,,1.9,11.2
NV,2020,Cardiovascular Disease,18.87,201.3,,18.33,196.6,,19.41,206.0,
NV,2020,Chronic Obstructive Pulmonary Disease,4.61,123.7,6.5,4.35,117.5,5.4,4.88,129.9,7.8
NV,2020,Diabetes,,82.6,10.0,,79.6,8.6,,85.5,11.6
NV,2021,Asthma,,0.8,9.8,,0.6,8.2,,1.2,11.6
NV,2021,Cardiovascular Disease,21.04,208.1,29.9,20.46,203.3,27.7,21.61,213.0,32.3
NV,2021,Chronic Obstructive Pulmonary Disease,3.92,111.6,6.1,3.67,105.6,5.2,4.16,117.6,7.3
NV,2021,Diabetes,,98.7,10.3,,95.4,8.9,,102.0,11.9
NV,2022,Asthma,,1.3,10.0,,0.9,8.5,,1.8,11.7
NV,2022,Cardiovascular Disease,22.75,196.8,,22.16,192.2,,23.34,201.4,
NV,2022,Chronic Obstructive Pulmonary Disease,4.47,118.9,6.5,4.2,113.0,5.5,4.73,124.9,7.7
NV,2022,Diabetes,,89.6,8.8,,86.5,7.7,,92.6,10.0
NV,2023,Asthma,,,8.9,,,7.4,,,10.7
NV,2023,Cardiovascular Disease,,,31.4,,,28.4,,,34.4
NV,2023,Chronic Obstructive Pulmonary Disease,,,6.5,,,5.1,,,8.1
NV,2023,Diabetes,,,10.8,,,8.9,,,13.0
NY,2019,Asthma,,1.3,10.1,,1.1,9.4,,1.4,10.9
NY,2019,Cardiovascular Disease,31.62,166.6,27.1,31.36,165.0,26.1,31.89,168.2,28.1
NY,2019,Chronic Obstructive Pulmonary Disease,11.21,74.4,5.2,11.05,72.6,4.8,11.37,76.2,5.7
NY,2019,Diabetes,,56.9,9.5,,55.9,8.8,,57.8,10.2
NY,2020,Asthma,,1.4,10.2,,1.3,9.5,,1.6,10.9
NY,2020,Cardiovascular Disease,24.76,183.9,,24.52,182.2,,25.0,185.5,
NY,2020,Chronic Obstructive Pulmonary Disease,6.14,67.8,4.4,6.03,66.1,4.0,6.26,69.5,4.8
NY,2020,Diabetes,,86.9,9.2,,85.8,8.6,,88.1,9.9
NY,2021,Asthma,,1.1,10.8,,0.9,10.2,,1.2,11.3
NY,2021,Cardiovascular Disease,28.61,162.3,27.4,28.36,160.7,26.8,28.87,163.8,28.1
NY,2021,Chronic Obstructive Pulmonary Disease,6.31,60.9,4.9,6.19,59.3,4.5,6.43,62.5,5.3
NY,2021,Diabetes,,71.9,10.2,,70.8,9.7,,72.9,10.7
NY,2022,Asthma,,1.1,10.3,,1.0,9.7,,1.3,11.0
NY,2022,Cardiovascular Disease,28.46,159.2,,28.2,157.7,,28.71,160.8,
NY,2022,Chronic Obstructive Pulmonary Disease,6.83,60.6,4.6,6.71,59.0,4.2,6.96,62.2,5.1
NY,2022,Diabetes,,67.7,10.0,,66.7,9.4,,68.7,10.7
NY,2023,Asthma,,,9.9,,,9.3,,,10.6
NY,2023,Cardiovascular Disease,,,29.2,,,28.2,,,30.1
NY,2023,Chronic Obstructive Pulmonary Disease,,,4.6,,,4.2,,,5.0
NY,2023,Diabetes,,,9.5,,,8.9,,,10.1
OH,2019,Asthma,,0.9,12.0,,0.8,11.1,,1.1,13.1
OH,2019,Cardiovascular Disease,39.43,188.8,31.5,39.04,186.6,30.3,39.82,191.0,32.7
OH,2019,Chronic Obstructive Pulmonary Disease,12.59,127.4,8.1,12.37,124.4,7.5,12.81,130.4,8.8
OH,2019,Diabetes,,79.4,10.4,,77.9,9.7,,80.8,11.1
OH,2020,Asthma,,1.1,10.9,,0.9,10.1,,1.3,11.7
OH,2020,Cardiovascular Disease,33.74,196.9,,33.38,194.6,,34.11,199.1,
OH,2020,Chronic Obstructive Pulmonary Disease,7.92,123.4,7.1,7.75,120.5,6.6,8.09,126.4,7.6
OH,2020,Diabetes,,97.7,11.0,,96.1,10.4,,99.3,11.7
OH,2021,Asthma,,1.0,11.5,,0.8,10.7,,1.2,12.3
OH,2021,Cardiovascular Disease,38.07,204.7,32.3,37.67,202.4,31.3,38.46,207.0,33.3
OH,2021,Chronic Obstructive Pulmonary Disease,7.7,115.5,7.8,7.53,112.6,7.2,7.88,118.5,8.4
OH,2021,Diabetes,,104.3,11.0,,102.6,10.4,,106.0,11.7
OH,2022,Asthma,,1.0,11.5,,0.9,10.8,,1.2,12.4
OH,2022,Cardiovascular Disease,37.99,193.9,,37.6,191.7,,38.39,196.1,
OH,2022,Chronic Obstructive Pulmonary Disease,8.29,118.0,8.5,8.11,115.1,7.8,8.48,120.9,9.1
OH,2022,Diabetes,,91.5,11.4,,90.0,10.8,,93.1,12.2
OH,2023,Asthma,,,11.1,,,10.2,,,12.0
OH,2023,Cardiovascular Disease,,,33.5,,,32.4,,,34.6
OH,2023,Chronic Obstructive Pulmonary Disease,,,6.9,,,6.4,,,7.4
OH,2023,Diabetes,,,11.5,,,10.8,,,12.2
OK,2019,Asthma,,1.2,11.4,,0.9,10.5,,1.6,12.5
OK,2019,Cardiovascular Disease,22.65,231.4,35.5,22.21,227.0,34.2,23.09,235.8,36.8
OK,2019,Chronic Obstructive Pulmonary Disease,8.72,174.2,8.1,8.45,167.9,7.3,8.99,180.6,8.9
OK,2019,Diabetes,,140.4,11.2,,137.0,10.4,,143.8,12.1
OK,2020,Asthma,,1.6,12.1,,1.2,11.0,,2.0,13.3
OK,2020,Cardiovascular Disease,18.82,244.1,,18.41,239.7,,19.23,248.6,
OK,2020,Chronic Obstructive Pulmonary Disease,5.29,166.4,7.9,5.08,160.3,7.1,5.5,172.6,8.8
OK,2020,Diabetes,,183.5,12.0,,179.6,11.0,,187.4,13.1
OK,2021,Asthma,,1.1,12.1,,0.8,11.0,,1.5,13.3
OK,2021,Cardiovascular Disease,21.13,264.2,36.7,20.69,259.4,35.2,21.58,268.9,38.2
OK,2021,Chronic Obstructive Pulmonary Disease,4.53,168.5,7.3,4.33,162.1,6.5,4.73,174.8,8.2
OK,2021,Diabetes,,216.4,11.8,,212.1,10.8,,220.7,12.8
OK,2022,Asthma,,1.4,12.4,,1.1,11.3,,1.8,13.5
OK,2022,Cardiovascular Disease,21.55,257.1,,21.1,252.5,,22.0,261.7,
OK,2022,Chronic Obstructive Pulmonary Disease,4.56,173.4,7.5,4.36,167.1,6.8,4.77,179.7,8.3
OK,2022,Diabetes,,192.1,12.2,,188.2,11.4,,196.1,13.2
OK,2023,Asthma,,,11.2,,,10.3,,,12.2
OK,2023,Cardiovascular Disease,,,35.9,,,34.6,,,37.2
OK,2023,Chronic Obstructive Pulmonary Disease,,,7.1,,,6.5,,,7.9
OK,2023,Diabetes,,,11.3,,,10.5,,,12.1
OR,2019,Asthma,,0.8,12.3,,0.5,11.2,,1.1,13.4
OR,2019,Cardiovascular Disease,23.87,131.0,27.6,23.35,127.9,26.4,24.4,134.0,28.9
OR,2019,Chronic Obstructive Pulmonary Disease,5.12,105.5,5.5,4.88,100.9,4.9,5.36,110.1,6.3
OR,2019,Diabetes,,85.9,7.5,,83.4,6.8,,88.4,8.3
OR,2020,Asthma,,1.2,11.5,,0.9,10.5,,1.6,12.6
OR,2020,Cardiovascular Disease,19.79,134.0,,19.31,130.9,,20.26,137.1,
OR,2020,Chronic Obstructive Pulmonary Disease,3.08,94.6,5.1,2.9,90.3,4.5,3.27,98.9,5.8
OR,2020,Diabetes,,98.5,8.4,,95.8,7.6,,101.1,9.3
OR,2021,Asthma,,1.3,12.2,,1.0,11.2,,1.7,13.4
OR,2021,Cardiovascular Disease,22.07,148.5,27.7,21.56,145.2,26.4,22.57,151.9,29.0
OR,2021,Chronic Obstructive Pulmonary Disease,2.53,93.7,5.3,2.37,89.3,4.7,2.7,98.1,6.1
OR,2021,Diabetes,,114.8,8.4,,111.9,7.6,,117.7,9.3
OR,2022,Asthma,,1.2,11.4,,0.9,10.5,,1.5,12.5
OR,2022,Cardiovascular Disease,21.76,145.4,,21.26,142.2,,22.25,148.6,
OR,2022,Chronic Obstructive Pulmonary Disease,2.89,94.0,5.8,2.71,89.8,5.1,3.06,98.3,6.6
OR,2022,Diabetes,,110.8,9.1,,108.0,8.2,,113.6,10.1
OR,2023,Asthma,,,11.8,,,10.8,,,12.9
OR,2023,Cardiovascular Disease,,,30.1,,,28.7,,,31.5
OR,2023,Chronic Obstructive Pulmonary Disease,,,5.7,,,5.0,,,6.5
OR,2023,Diabetes,,,9.5,,,8.7,,,10.5
PA,2019,Asthma,,0.8,11.6,,0.6,10.6,,0.9,12.8
PA,2019,Cardiovascular Disease,38.57,172.9,29.5,38.22,171.0,28.2,38.92,174.8,30.8
PA,2019,Chronic Obstructive Pulmonary Disease,11.3,94.7,6.3,11.11,92.3,5.6,11.49,97.1,7.1
PA,2019,Diabetes,,62.7,9.3,,61.5,8.5,,63.9,10.2
PA,2020,Asthma,,1.1,11.3,,0.9,10.2,,1.3,12.6
PA,2020,Cardiovascular Disease,32.43,175.7,,32.1,173.8,,32.76,177.7,
PA,2020,Chronic Obstructive Pulmonary Disease,6.98,89.9,6.4,6.83,87.5,5.7,7.13,92.2,7.3
PA,2020,Diabetes,,82.5,9.9,,81.2,9.0,,83.9,10.8
PA,2021,Asthma,,0.9,11.2,,0.8,10.2,,1.1,12.3
PA,2021,Cardiovascular Disease,36.76,180.6,29.6,36.41,178.6,28.3,37.11,182.6,30.9
PA,2021,Chronic Obstructive Pulmonary Disease,6.72,83.3,6.0,6.57,81.0,5.3,6.87,85.5,6.7
PA,2021,Diabetes,,83.6,9.5,,82.3,8.7,,85.0,10.4
PA,2022,Asthma,,1.0,10.2,,0.9,8.9,,1.2,11.6
PA,2022,Cardiovascular Disease,37.1,173.4,,36.75,171.5,,37.46,175.3,
PA,2022,Chronic Obstructive Pulmonary Disease,6.87,84.6,6.6,6.71,82.3,5.5,7.02,86.8,7.8
PA,2022,Diabetes,,75.5,10.1,,74.3,8.8,,76.8,11.5
PR,2019,Asthma,,,10.8,,,9.8,,,11.8
PR,2019,Cardiovascular Disease,,,36.6,,,35.2,,,38.1
PR,2019,Chronic Obstructive Pulmonary Disease,,,4.5,,,3.9,,,5.3
PR,2019,Diabetes,,,14.5,,,13.6,,,15.6
PR,2020,Asthma,,,10.5,,,9.1,,,12.2
PR,2020,Chronic Obstructive Pulmonary Disease,,,5.1,,,4.4,,,5.9
PR,2020,Diabetes,,,13.4,,,12.1,,,14.9
PR,2021,Asthma,,,11.5,,,10.2,,,12.9
PR,2021,Cardiovascular Disease,,,38.0,,,36.1,,,39.9
PR,2021,Chronic Obstructive Pulmonary Disease,,,4.7,,,4.0,,,5.6
PR,2021,Diabetes,,,14.5,,,13.3,,,15.9
PR,2022,Asthma,,,12.7,,,11.5,,,14.1
PR,2022,Chronic Obstructive Pulmonary Disease,,,4.8,,,4.1,,,5.6
PR,2022,Diabetes,,,15.2,,,14.1,,,16.4
PR,2023,Asthma,,,14.2,,,12.7,,,15.8
PR,2023,Cardiovascular Disease,,,38.5,,,36.8,,,40.3
PR,2023,Chronic Obstructive Pulmonary Disease,,,5.6,,,4.7,,,6.8
PR,2023,Diabetes,,,16.1,,,14.8,,,17.5
RI,2019,Asthma,,,12.0,,,10.7,,,13.3
RI,2019,Cardiovascular Disease,39.12,159.3,30.3,37.82,152.8,28.7,40.42,165.9,31.9
RI,2019,Chronic Obstructive Pulmonary Disease,15.67,94.0,6.2,14.85,85.5,5.5,16.49,102.5,7.0
RI,2019,Diabetes,,65.0,9.1,,60.7,8.3,,69.2,10.1
RI,2020,Asthma,,,12.8,,,11.4,,,14.2
RI,2020,Cardiovascular Disease,31.97,150.5,,30.79,144.3,,33.16,156.8,
RI,2020,Chronic Obstructive Pulmonary Disease,8.77,81.9,6.2,8.16,74.0,5.3,9.39,89.7,7.1
RI,2020,Diabetes,,91.7,9.2,,86.7,8.2,,96.7,10.2
RI,2021,Asthma,,,13.4,,,12.1,,,14.7
RI,2021,Cardiovascular Disease,39.52,158.7,29.9,38.19,152.1,28.4,40.85,165.2,31.4
RI,2021,Chronic Obstructive Pulmonary Disease,8.93,73.6,5.2,8.31,66.1,4.4,9.56,81.1,6.0
RI,2021,Diabetes,,73.0,9.2,,68.6,8.3,,77.5,10.2
RI,2022,Asthma,,,13.4,,,12.1,,,14.8
RI,2022,Cardiovascular Disease,39.12,152.6,,37.8,146.4,,40.44,158.9,
RI,2022,Chronic Obstructive Pulmonary Disease,9.95,73.8,6.1,9.29,66.6,5.3,10.61,81.1,6.9
RI,2022,Diabetes,,98.3,10.2,,93.3,9.3,,103.4,11.1
RI,2023,Asthma,,,12.3,,,11.0,,,13.7
RI,2023,Cardiovascular Disease,,,30.3,,,28.7,,,31.9
RI,2023,Chronic Obstructive Pulmonary Disease,,,5.8,,,5.0,,,6.7
RI,2023,Diabetes,,,10.0,,,9.1,,,11.0
SC,2019,Asthma,,0.8,10.5,,0.6,9.5,,1.1,11.7
SC,2019,Cardiovascular Disease,24.17,164.0,34.6,23.77,160.8,33.3,24.57,167.2,36.0
SC,2019,Chronic Obstructive Pulmonary Disease,8.36,119.5,7.4,8.13,115.0,6.7,8.59,123.9,8.2
SC,2019,Diabetes,,74.0,11.7,,71.9,10.8,,76.1,12.6
SC,2020,Asthma,,1.4,9.8,,1.1,8.6,,1.7,11.2
SC,2020,Cardiovascular Disease,20.09,170.9,,19.73,167.7,,20.46,174.2,
SC,2020,Chronic Obstructive Pulmonary Disease,5.01,119.1,7.2,4.83,114.7,6.3,5.18,123.5,8.2
SC,2020,Diabetes,,101.1,12.1,,98.7,10.9,,103.6,13.3
SC,2021,Asthma,,1.2,9.7,,0.9,8.8,,1.6,10.7
SC,2021,Cardiovascular Disease,22.47,189.1,34.1,22.08,185.7,32.9,22.86,192.6,35.4
SC,2021,Chronic Obstructive Pulmonary Disease,4.4,116.8,6.8,4.24,112.4,6.1,4.57,121.3,7.5
SC,2021,Diabetes,,133.1,12.1,,130.3,11.3,,136.0,12.9
SC,2022,Asthma,,1.1,8.8,,0.8,8.0,,1.4,9.7
SC,2022,Cardiovascular Disease,22.81,177.7,,22.42,174.4,,23.2,180.9,
SC,2022,Chronic Obstructive Pulmonary Disease,4.43,109.2,6.8,4.26,105.0,6.2,4.6,113.3,7.5
SC,2022,Diabetes,,126.5,11.1,,123.8,10.3,,129.2,11.9
SC,2023,Asthma,,,8.6,,,7.7,,,9.6
SC,2023,Cardiovascular Disease,,,34.1,,,32.9,,,35.3
SC,2023,Chronic Obstructive Pulmonary Disease,,,6.7,,,6.0,,,7.4
SC,2023,Diabetes,,,12.7,,,11.9,,,13.6
SD,2019,Asthma,,,9.2,,,7.8,,,10.9
SD,2019,Cardiovascular Disease,16.2,158.1,28.2,15.43,150.7,26.3,16.98,165.5,30.2
SD,2019,Chronic Obstructive Pulmonary Disease,5.41,126.5,5.2,4.97,115.3,4.3,5.85,137.7,6.4
SD,2019,Diabetes,,92.0,9.3,,86.2,8.1,,97.8,10.8
SD,2020,Asthma,,,8.8,,,7.4,,,10.5
SD,2020,Cardiovascular Disease,13.66,155.2,,12.95,147.9,,14.37,162.6,
SD,2020,Chronic Obstructive Pulmonary Disease,3.17,101.7,5.7,2.83,91.7,4.2,3.51,111.6,7.7
SD,2020,Diabetes,,130.7,7.0,,123.9,6.0,,137.5,8.1
SD,2021,Asthma,,,9.4,,,7.8,,,11.2
SD,2021,Cardiovascular Disease,15.08,153.0,30.7,14.32,145.5,28.3,15.83,160.4,33.3
SD,2021,Chronic Obstructive Pulmonary Disease,3.01,115.7,5.4,2.68,104.8,4.2,3.35,126.6,6.9
SD,2021,Diabetes,,120.5,9.6,,113.8,8.3,,127.2,11.2
SD,2022,Asthma,,,8.5,,,7.0,,,10.2
SD,2022,Cardiovascular Disease,14.76,158.2,,14.01,150.8,,15.52,165.6,
SD,2022,Chronic Obstructive Pulmonary Disease,2.25,96.5,6.3,1.96,86.9,4.7,2.53,106.1,8.5
SD,2022,Diabetes,,113.2,8.1,,106.9,6.8,,119.5,9.6
SD,2023,Asthma,,,9.4,,,7.8,,,11.4
SD,2023,Cardiovascular Disease,,,31.7,,,29.0,,,34.5
SD,2023,Chronic Obstructive Pulmonary Disease,,,5.3,,,4.2,,,6.6
SD,2023,Diabetes,,,10.7,,,8.9,,,12.8
TN,2019,Asthma,,1.0,9.8,,0.8,8.8,,1.2,11.0
TN,2019,Cardiovascular Disease,30.32,202.8,36.4,29.88,199.7,34.9,30.75,205.9,37.9
TN,2019,Chronic Obstructive Pulmonary Disease,11.63,147.9,8.9,11.36,143.5,8.0,11.89,152.3,9.8
TN,2019,Diabetes,,87.9,12.2,,85.9,11.3,,90.0,13.2
TN,2020,Asthma,,1.2,11.0,,1.0,9.8,,1.5,12.4
TN,2020,Cardiovascular Disease,24.75,212.0,,24.36,208.9,,25.14,215.2,
TN,2020,Chronic Obstructive Pulmonary Disease,6.72,142.0,8.6,6.52,137.8,7.6,6.92,146.3,9.7
TN,2020,Diabetes,,109.5,12.8,,107.3,11.6,,111.8,14.1
TN,2021,Asthma,,1.1,11.7,,0.9,10.5,,1.4,13.0
TN,2021,Cardiovascular Disease,26.89,223.8,34.7,26.48,220.5,33.1,27.31,227.1,36.3
TN,2021,Chronic Obstructive Pulmonary Disease,5.87,142.7,9.3,5.68,138.4,8.4,6.06,147.0,10.4
TN,2021,Diabetes,,120.7,12.3,,118.3,11.3,,123.1,13.4
TN,2022,Asthma,,1.1,11.7,,0.9,10.5,,1.4,13.0
TN,2022,Cardiovascular Disease,28.27,218.3,,27.85,215.1,,28.7,221.5,
TN,2022,Chronic Obstructive Pulmonary Disease,5.53,129.9,10.6,5.34,125.8,9.6,5.71,133.9,11.7
TN,2022,Diabetes,,109.2,13.1,,107.0,12.1,,111.4,14.2
TN,2023,Asthma,,,11.1,,,10.0,,,12.4
TN,2023,Cardiovascular Disease,,,37.2,,,35.6,,,38.8
TN,2023,Chronic Obstructive Pulmonary Disease,,,9.3,,,8.3,,,10.4
TN,2023,Diabetes,,,12.7,,,11.7,,,13.8
TX,2019,Asthma,,0.7,7.6,,0.6,6.7,,0.8,8.5
TX,2019,Cardiovascular Disease,28.95,163.4,31.2,28.71,161.9,29.8,29.19,165.0,32.5
TX,2019,Chronic Obstructive Pulmonary Disease,8.7,108.0,5.1,8.57,105.9,4.5,8.83,110.1,5.7
TX,2019,Diabetes,,81.8,11.9,,80.8,10.9,,82.9,13.0
TX,2020,Asthma,,0.9,8.5,,0.8,7.6,,1.0,9.5
TX,2020,Cardiovascular Disease,23.58,173.9,,23.37,172.3,,23.8,175.4,
TX,2020,Chronic Obstructive Pulmonary Disease,4.99,100.5,4.9,4.89,98.5,4.3,5.09,102.5,5.7
TX,2020,Diabetes,,115.7,12.2,,114.5,11.1,,117.0,13.3
TX,2021,Asthma,,1.0,9.0,,0.9,8.1,,1.1,10.0
TX,2021,Cardiovascular Disease,27.68,180.7,31.5,27.44,179.1,30.1,27.92,182.3,33.0
TX,2021,Chronic Obstructive Pulmonary Disease,4.74,99.2,5.8,4.64,97.2,5.2,4.83,101.2,6.6
TX,2021,Diabetes,,124.3,11.2,,123.0,10.2,,125.6,12.2
TX,2022,Asthma,,0.8,7.9,,0.7,7.2,,0.9,8.6
TX,2022,Cardiovascular Disease,29.77,172.3,,29.53,170.8,,30.02,173.8,
TX,2022,Chronic Obstructive Pulmonary Disease,5.05,94.5,5.6,4.95,92.6,5.0,5.15,96.4,6.2
TX,2022,Diabetes,,102.6,13.4,,101.5,12.4,,103.8,14.6
TX,2023,Asthma,,,8.3,,,7.4,,,9.3
TX,2023,Cardiovascular Disease,,,31.0,,,29.5,,,32.5
TX,2023,Chronic Obstructive Pulmonary Disease,,,4.8,,,4.2,,,5.5
TX,2023,Diabetes,,,12.1,,,11.0,,,13.3
UT,2019,Asthma,,0.9,10.9,,0.6,10.2,,1.4,11.6
UT,2019,Cardiovascular Disease,13.99,146.5,26.9,13.46,141.9,26.0,14.52,151.1,27.8
UT,2019,Chronic Obstructive Pulmonary Disease,2.6,86.0,4.3,2.37,80.0,3.8,2.82,92.0,4.7
UT,2019,Diabetes,,67.2,8.4,,64.1,7.8,,70.3,9.0
UT,2020,Asthma,,0.9,11.8,,0.6,11.0,,1.4,12.6
UT,2020,Cardiovascular Disease,12.22,155.6,,11.73,150.8,,12.72,160.3,
UT,2020,Chronic Obstructive Pulmonary Disease,1.87,90.6,4.3,1.68,84.6,3.8,2.06,96.6,4.7
UT,2020,Diabetes,,84.4,8.6,,81.0,8.0,,87.8,9.2
UT,2021,Asthma,,0.8,10.8,,0.5,10.0,,1.3,11.5
UT,2021,Cardiovascular Disease,14.4,162.4,27.6,13.86,157.5,26.6,14.94,167.4,28.5
UT,2021,Chronic Obstructive Pulmonary Disease,1.92,83.5,4.4,1.73,77.7,3.9,2.11,89.3,4.9
UT,2021,Diabetes,,91.2,8.3,,87.7,7.7,,94.8,8.9
UT,2022,Asthma,,0.9,10.9,,0.6,10.1,,1.3,11.7
UT,2022,Cardiovascular Disease,14.4,159.4,,13.86,154.6,,14.94,164.1,
UT,2022,Chronic Obstructive Pulmonary Disease,2.24,83.4,4.4,2.03,77.7,3.9,2.45,89.1,5.0
UT,2022,Diabetes,,77.3,9.1,,74.1,8.4,,80.6,9.7
UT,2023,Asthma,,,10.9,,,10.2,,,11.8
UT,2023,Cardiovascular Disease,,,28.0,,,27.0,,,29.1
UT,2023,Chronic Obstructive Pulmonary Disease,,,3.8,,,3.3,,,4.2
UT,2023,Diabetes,,,8.1,,,7.5,,,8.7
VA,2019,Asthma,,1.0,9.4,,0.8,8.7,,1.3,10.3
VA,2019,Cardiovascular Disease,24.77,149.1,31.3,24.46,146.7,30.2,25.09,151.5,32.4
VA,2019,Chronic Obstructive Pulmonary Disease,7.02,99.0,6.1,6.85,95.7,5.5,7.19,102.3,6.7
VA,2019,Diabetes,,55.5,9.9,,54.0,9.3,,56.9,10.6
VA,2020,Asthma,,1.2,9.5,,1.0,8.7,,1.4,10.3
VA,2020,Cardiovascular Disease,20.2,152.0,,19.91,149.5,,20.48,154.4,
VA,2020,Chronic Obstructive Pulmonary Disease,4.51,89.2,5.3,4.38,86.1,4.8,4.65,92.2,5.9
VA,2020,Diabetes,,71.8,9.9,,70.2,9.2,,73.4,10.7
VA,2021,Asthma,,0.9,10.7,,0.7,9.9,,1.1,11.6
VA,2021,Cardiovascular Disease,22.39,167.2,31.7,22.09,164.7,30.6,22.7,169.8,32.8
VA,2021,Chronic Obstructive Pulmonary Disease,3.88,85.3,6.0,3.76,82.2,5.4,4.01,88.3,6.6
VA,2021,Diabetes,,82.6,10.2,,80.8,9.5,,84.4,11.0
VA,2022,Asthma,,0.7,9.9,,0.5,9.0,,0.9,10.9
VA,2022,Cardiovascular Disease,21.92,159.2,,21.62,156.8,,22.22,161.7,
VA,2022,Chronic Obstructive Pulmonary Disease,3.92,81.5,6.5,3.8,78.7,5.9,4.05,84.4,7.2
VA,2022,Diabetes,,79.3,11.3,,77.6,10.6,,81.0,12.2
VA,2023,Asthma,,,10.1,,,9.0,,,11.2
VA,2023,Cardiovascular Disease,,,33.0,,,31.4,,,34.6
