LocationAbbr,YearStart,Topic,hospitalization,mortality,prevalence,hospitalization_lo,mortality_lo,prevalence_lo,hospitalization_hi,mortality_hi,prevalence_hi
DC,2019,Cardiovascular Disease,25.76,169.5,29.1,24.5,159.7,27.4,27.02,179.2,31.0
DC,2019,Chronic Obstructive Pulmonary Disease,7.72,50.8,4.9,7.03,41.8,4.1,8.41,59.8,6.0
DC,2019,Diabetes,,74.2,9.5,,67.6,8.4,,80.8,10.7
DC,2020,Asthma,,,11.6,,,10.2,,,13.1
DC,2020,Cardiovascular Disease,21.19,187.7,,20.03,177.5,,22.34,197.8,
DC,2020,Chronic Obstructive Pulmonary Disease,5.26,52.5,4.6,4.68,43.6,3.7,5.84,61.4,5.6
DC,2020,Diabetes,,138.6,8.4,,129.8,7.3,,147.4,9.6
DC,2021,Asthma,,,12.7,,,11.0,,,14.5
DC,2021,Cardiovascular Disease,22.97,192.8,29.7,21.75,182.2,27.9,24.19,203.5,31.6
DC,2021,Chronic Obstructive Pulmonary Disease,5.15,40.6,4.8,4.58,32.7,4.0,5.73,49.8,5.7
DC,2021,Diabetes,,124.5,8.4,,116.0,7.3,,133.1,9.6
DC,2022,Asthma,,,11.0,,,9.6,,,12.5
DC,2022,Cardiovascular Disease,24.09,182.6,,22.84,172.3,,25.35,192.8,
DC,2022,Chronic Obstructive Pulmonary Disease,4.58,44.3,4.1,4.03,35.8,3.4,5.13,52.7,4.9
DC,2022,Diabetes,,95.6,8.8,,88.2,7.6,,103.0,10.1
DC,2023,Asthma,,,10.7,,,9.1,,,12.5
DC,2023,Cardiovascular Disease,,,31.2,,,29.2,,,33.3
DC,2023,Chronic Obstructive Pulmonary Disease,,,4.2,,,3.3,,,5.4
DC,2023,Diabetes,,,8.2,,,7.1,,,9.5
DE,2019,Asthma,,,10.9,,,9.4,,,12.6
DE,2019,Cardiovascular Disease,19.95,154.3,32.4,19.21,147.5,30.4,20.7,161.1,34.4
DE,2019,Chronic Obstructive Pulmonary Disease,8.72,97.6,7.3,8.23,88.6,6.3,9.2,106.6,8.5
DE,2019,Diabetes,,50.2,11.0,,46.3,9.8,,54.1,12.4
DE,2020,Asthma,,,11.4,,,9.9,,,13.0
DE,2020,Cardiovascular Disease,16.59,159.6,,15.92,152.7,,17.26,166.4,
DE,2020,Chronic Obstructive Pulmonary Disease,4.62,89.9,5.2,4.27,81.5,4.4,4.97,98.3,6.0
DE,2020,Diabetes,,85.8,10.6,,80.8,9.4,,90.8,12.0
DE,2021,Asthma,,,11.0,,,9.5,,,12.7
DE,2021,Cardiovascular Disease,18.66,162.7,32.0,17.94,155.7,30.1,19.38,169.7,34.0
DE,2021,Chronic Obstructive Pulmonary Disease,4.04,98.6,5.3,3.71,89.7,4.5,4.37,107.6,6.2
DE,2021,Diabetes,,94.5,10.0,,89.2,8.8,,99.8,11.3
DE,2022,Asthma,,,9.8,,,8.6,,,11.3
DE,2022,Cardiovascular Disease,17.56,156.8,,16.87,150.1,,18.25,163.4,
DE,2022,Chronic Obstructive Pulmonary Disease,4.4,85.6,6.3,4.05,77.6,5.4,4.74,93.6,7.3
DE,2022,Diabetes,,98.5,11.9,,93.2,10.7,,103.7,13.3
DE,2023,Asthma,,,11.4,,,9.9,,,13.1
DE,2023,Cardiovascular Disease,,,33.1,,,31.1,,,35.1
DE,2023,Chronic Obstructive Pulmonary Disease,,,5.7,,,4.8,,,6.6
DE,2023,Diabetes,,,11.1,,,9.8,,,12.6
FL,2019,Asthma,,0.8,7.9,,0.7,7.0,,0.9,8.8
FL,2019,Cardiovascular Disease,30.75,140.1,28.8,30.52,138.8,27.4,30.99,141.4,30.2
FL,2019,Chronic Obstructive Pulmonary Disease,12.18,97.1,6.6,12.03,95.3,5.9,12.33,98.9,7.3
FL,2019,Diabetes,,52.6,9.5,,51.8,8.7,,53.4,10.3
FL,2020,Asthma,,0.9,7.7,,0.8,6.8,,1.0,8.7
FL,2020,Cardiovascular Disease,26.03,143.1,,25.81,141.8,,26.25,144.4,
FL,2020,Chronic Obstructive Pulmonary Disease,7.7,92.5,6.2,7.58,90.8,5.4,7.81,94.2,7.0
FL,2020,Diabetes,,76.1,9.6,,75.2,8.6,,77.1,10.6
FL,2021,Asthma,,0.8,,,0.7,,,0.9,
FL,2021,Cardiovascular Disease,29.78,151.3,,29.54,150.0,,30.01,152.7,
FL,2021,Chronic Obstructive Pulmonary Disease,7.22,88.4,,7.1,86.7,,7.33,90.1,
FL,2021,Diabetes,,76.3,,,75.3,,,77.2,
FL,2022,Asthma,,0.7,9.3,,0.6,8.3,,0.8,10.5
FL,2022,Cardiovascular Disease,31.08,140.9,,30.84,139.7,,31.32,142.2,
FL,2022,Chronic Obstructive Pulmonary Disease,7.47,84.9,6.2,7.35,83.3,5.5,7.59,86.5,7.0
FL,2022,Diabetes,,64.2,9.6,,63.3,8.8,,65.0,10.6
FL,2023,Asthma,,,8.5,,,7.5,,,9.5
FL,2023,Cardiovascular Disease,,,30.1,,,28.6,,,31.7
FL,2023,Chronic Obstructive Pulmonary Disease,,,5.5,,,4.8,,,6.2
FL,2023,Diabetes,,,10.1,,,9.1,,,11.1
GA,2019,Asthma,,1.1,8.2,,0.9,7.3,,1.3,9.2
GA,2019,Cardiovascular Disease,31.08,175.5,33.0,30.69,173.0,31.5,31.47,178.0,34.5
GA,2019,Chronic Obstructive Pulmonary Disease,10.3,116.7,7.0,10.08,113.3,6.3,10.52,120.1,7.9
GA,2019,Diabetes,,64.5,11.3,,63.1,10.3,,66.0,12.3
GA,2020,Asthma,,1.1,9.4,,0.9,8.5,,1.3,10.5
GA,2020,Cardiovascular Disease,26.72,183.7,,26.35,181.2,,27.08,186.2,
GA,2020,Chronic Obstructive Pulmonary Disease,6.68,114.9,6.2,6.5,111.5,5.6,6.86,118.2,7.0
GA,2020,Diabetes,,84.2,10.8,,82.5,10.0,,85.9,11.6
GA,2021,Asthma,,0.9,10.8,,0.8,9.7,,1.1,11.9
GA,2021,Cardiovascular Disease,30.32,195.2,34.8,29.93,192.6,33.4,30.72,197.9,36.2
GA,2021,Chronic Obstructive Pulmonary Disease,6.6,114.4,6.2,6.42,111.0,5.5,6.79,117.8,7.0
GA,2021,Diabetes,,94.9,11.5,,93.1,10.6,,96.7,12.5
GA,2022,Asthma,,1.1,9.6,,0.9,8.6,,1.3,10.6
GA,2022,Cardiovascular Disease,32.45,183.9,,32.04,181.4,,32.86,186.3,
