state,condition,strat_category,n_cells,n_suppressed,n_no_data,suppression_share
MA,cardiovascular,Race/Ethnicity,90,27,0,0.3
MA,cardiovascular,Sex,28,0,0,0.0
MA,copd,Race/Ethnicity,118,67,3,0.5826086956521739
MA,copd,Sex,36,0,0,0.0
MA,diabetes,Race/Ethnicity,63,21,0,0.3333333333333333
MA,diabetes,Sex,18,0,0,0.0
MD,asthma,Race/Ethnicity,63,28,0,0.4444444444444444
MD,asthma,Sex,18,0,0,0.0
MD,cardiovascular,Race/Ethnicity,90,23,0,0.25555555555555554
MD,cardiovascular,Sex,28,0,0,0.0
MD,copd,Race/Ethnicity,118,61,2,0.5258620689655172
MD,copd,Sex,36,0,0,0.0
MD,diabetes,Race/Ethnicity,63,17,0,0.2698412698412698
MD,diabetes,Sex,18,0,0,0.0
ME,asthma,Race/Ethnicity,63,47,0,0.746031746031746
ME,asthma,Sex,18,8,0,0.4444444444444444
ME,cardiovascular,Race/Ethnicity,90,54,0,0.6
ME,cardiovascular,Sex,28,0,0,0.0
ME,copd,Race/Ethnicity,118,87,3,0.7565217391304347
ME,copd,Sex,36,0,0,0.0
ME,diabetes,Race/Ethnicity,63,43,0,0.6825396825396826
ME,diabetes,Sex,18,0,0,0.0
MI,asthma,Race/Ethnicity,63,34,0,0.5396825396825397
MI,asthma,Sex,18,0,0,0.0
MI,cardiovascular,Race/Ethnicity,90,15,1,0.16853932584269662
MI,cardiovascular,Sex,28,0,0,0.0
MI,copd,Race/Ethnicity,118,51,2,0.4396551724137931
MI,copd,Sex,36,0,0,0.0
MI,diabetes,Race/Ethnicity,63,15,0,0.23809523809523808
MI,diabetes,Sex,18,0,0,0.0
MN,asthma,Race/Ethnicity,63,30,0,0.47619047619047616
MN,asthma,Sex,18,0,0,0.0
MN,cardiovascular,Race/Ethnicity,90,11,0,0.12222222222222222
MN,cardiovascular,Sex,28,0,0,0.0
MN,copd,Race/Ethnicity,118,56,5,0.49557522123893805
MN,copd,Sex,36,0,0,0.0
MN,diabetes,Race/Ethnicity,63,12,0,0.19047619047619047
MN,diabetes,Sex,18,0,0,0.0
MO,asthma,Race/Ethnicity,63,37,0,0.5873015873015873
MO,asthma,Sex,18,0,0,0.0
MO,cardiovascular,Race/Ethnicity,90,21,0,0.23333333333333334
MO,cardiovascular,Sex,28,0,0,0.0
MO,copd,Race/Ethnicity,118,64,5,0.5663716814159292
MO,copd,Sex,36,0,0,0.0
MO,diabetes,Race/Ethnicity,63,22,0,0.3492063492063492
MO,diabetes,Sex,18,0,0,0.0
MS,asthma,Race/Ethnicity,63,46,0,0.7301587301587301
MS,asthma,Sex,18,0,0,0.0
MS,cardiovascular,Race/Ethnicity,90,42,0,0.4666666666666667
MS,cardiovascular,Sex,28,0,0,0.0
MS,copd,Race/Ethnicity,118,74,7,0.6666666666666666
MS,copd,Sex,36,0,0,0.0
MS,diabetes,Race/Ethnicity,63,32,0,0.5079365079365079
MS,diabetes,Sex,18,0,0,0.0
MT,asthma,Race/Ethnicity,63,44,0,0.6984126984126984
MT,asthma,Sex,18,8,0,0.4444444444444444
MT,cardiovascular,Race/Ethnicity,90,46,0,0.5111111111111111
MT,cardiovascular,Sex,28,0,0,0.0
MT,copd,Race/Ethnicity,118,75,7,0.6756756756756757
MT,copd,Sex,36,0,0,0.0
MT,diabetes,Race/Ethnicity,63,32,0,0.5079365079365079
MT,diabetes,Sex,18,0,0,0.0
NC,asthma,Race/Ethnicity,63,36,0,0.5714285714285714
NC,asthma,Sex,18,0,0,0.0
NC,cardiovascular,Race/Ethnicity,90,19,1,0.21348314606741572
NC,cardiovascular,Sex,28,0,0,0.0
NC,copd,Race/Ethnicity,118,56,4,0.49122807017543857
NC,copd,Sex,36,0,0,0.0
NC,diabetes,Race/Ethnicity,63,19,0,0.30158730158730157
NC,diabetes,Sex,18,0,0,0.0
ND,asthma,Race/Ethnicity,63,50,0,0.7936507936507936
ND,asthma,Sex,18,8,0,0.4444444444444444
ND,cardiovascular,Race/Ethnicity,90,53,1,0.5955056179775281
ND,cardiovascular,Sex,28,0,0,0.0
ND,copd,Race/Ethnicity,118,78,9,0.7155963302752294
ND,copd,Sex,36,0,0,0.0
ND,diabetes,Race/Ethnicity,63,41,0,0.6507936507936508
ND,diabetes,Sex,18,0,0,0.0
NE,asthma,Race/Ethnicity,63,42,0,0.6666666666666666
NE,asthma,Sex,18,7,0,0.3888888888888889
NE,cardiovascular,Race/Ethnicity,90,28,0,0.3111111111111111
NE,cardiovascular,Sex,28,0,0,0.0
NE,copd,Race/Ethnicity,118,76,5,0.672566371681416
NE,copd,Sex,36,0,0,0.0
NE,diabetes,Race/Ethnicity,63,18,0,0.2857142857142857
NE,diabetes,Sex,18,0,0,0.0
NH,asthma,Race/Ethnicity,63,50,1,0.8064516129032258
NH,asthma,Sex,18,8,0,0.4444444444444444
NH,cardiovascular,Race/Ethnicity,90,53,1,0.5955056179775281
NH,cardiovascular,Sex,28,0,0,0.0
NH,copd,Race/Ethnicity,118,86,10,0.7962962962962963
NH,copd,Sex,36,1,0,0.027777777777777776
NH,diabetes,Race/Ethnicity,63,51,1,0.8225806451612904
NH,diabetes,Sex,18,0,0,0.0
NJ,asthma,Race/Ethnicity,63,27,7,0.48214285714285715
NJ,asthma,Sex,18,0,2,0.0
NJ,cardiovascular,Race/Ethnicity,90,21,14,0.27631578947368424
NJ,cardiovascular,Sex,28,0,4,0.0
NJ,copd,Race/Ethnicity,118,48,17,0.4752475247524752
NJ,copd,Sex,36,0,4,0.0
NJ,diabetes,Race/Ethnicity,63,20,7,0.35714285714285715
NJ,diabetes,Sex,18,0,2,0.0
NM,asthma,Race/Ethnicity,63,48,0,0.7619047619047619
NM,asthma,Sex,18,6,0,0.3333333333333333
NM,cardiovascular,Race/Ethnicity,90,28,0,0.3111111111111111
NM,cardiovascular,Sex,28,0,0,0.0
NM,copd,Race/Ethnicity,118,73,5,0.6460176991150443
NM,copd,Sex,36,1,0,0.027777777777777776
NM,diabetes,Race/Ethnicity,63,27,0,0.42857142857142855
NM,diabetes,Sex,18,0,0,0.0
NV,asthma,Race/Ethnicity,63,46,0,0.7301587301587301
NV,asthma,Sex,18,6,0,0.3333333333333333
NV,cardiovascular,Race/Ethnicity,90,18,0,0.2
NV,cardiovascular,Sex,28,0,0,0.0
NV,copd,Race/Ethnicity,118,64,5,0.5663716814159292
NV,copd,Sex,36,0,0,0.0
NV,diabetes,Race/Ethnicity,63,16,0,0.25396825396825395
NV,diabetes,Sex,18,0,0,0.0
NY,asthma,Race/Ethnicity,63,22,0,0.3492063492063492
NY,asthma,Sex,18,0,0,0.0
NY,cardiovascular,Race/Ethnicity,90,11,0,0.12222222222222222
NY,cardiovascular,Sex,28,0,0,0.0
NY,copd,Race/Ethnicity,118,43,1,0.36752136752136755
NY,copd,Sex,36,0,0,0.0
NY,diabetes,Race/Ethnicity,63,11,0,0.1746031746031746
NY,diabetes,Sex,18,0,0,0.0
OH,asthma,Race/Ethnicity,63,34,0,0.5396825396825397
OH,asthma,Sex,18,0,0,0.0
OH,cardiovascular,Race/Ethnicity,90,21,0,0.23333333333333334
OH,cardiovascular,Sex,28,0,0,0.0
OH,copd,Race/Ethnicity,118,57,2,0.49137931034482757
OH,copd,Sex,36,0,0,0.0
OH,diabetes,Race/Ethnicity,63,24,0,0.38095238095238093
