condition,instrument,measure,strat_category,strat_group,n_cells,n_suppressed,n_no_data,n_reported,median_value,median_ci_width,median_ci_rel_width,n_states_any_suppressed,suppression_share
copd,brfss,prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",270,147,7,116,11.9,10.9,0.9490208771645898,47,0.55893536121673
copd,brfss,prevalence,Race/Ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",270,251,11,8,4.9,3.95,0.8669499105545617,53,0.9691119691119691
copd,brfss,prevalence,Race/Ethnicity,"White, non-Hispanic",270,13,6,251,5.8,1.6999999999999993,0.27027027027027023,3,0.04924242424242424
copd,brfss,prevalence,Sex,Female,270,2,6,262,6.1,2.0,0.3141196013289036,2,0.007575757575757576
copd,brfss,prevalence,Sex,Male,270,5,6,259,5.2,2.0,0.3658536585365855,2,0.01893939393939394
copd,brfss,treatment,Overall,Overall,270,5,6,259,37.6,16.200000000000003,0.44012944983818775,2,0.01893939393939394
copd,brfss,treatment,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",270,240,21,9,56.5,27.099999999999994,0.47964601769911497,52,0.963855421686747
copd,brfss,treatment,Race/Ethnicity,"Asian, non-Hispanic",270,195,72,3,35.4,23.1,0.6327683615819208,53,0.9848484848484849
copd,brfss,treatment,Race/Ethnicity,"Black, non-Hispanic",270,163,21,86,33.5,24.549999999999997,0.7188703275872284,44,0.6546184738955824
copd,brfss,treatment,Race/Ethnicity,Hispanic,270,235,6,29,24.3,22.599999999999998,0.909967845659164,52,0.8901515151515151
copd,brfss,treatment,Race/Ethnicity,"Multiracial, non-Hispanic",270,250,11,9,37.1,30.199999999999996,0.8272506082725061,54,0.9652509652509652
copd,brfss,treatment,Race/Ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",270,119,149,2,46.55,26.7,0.5711656923318464,51,0.9834710743801653
copd,brfss,treatment,Race/Ethnicity,"White, non-Hispanic",270,19,6,245,40.2,18.300000000000004,0.48237885462555063,5,0.07196969696969698
copd,brfss,treatment,Sex,Female,270,11,6,253,37.2,18.9,0.5182926829268293,4,0.041666666666666664
copd,brfss,treatment,Sex,Male,270,19,6,245,38.4,21.3,0.5693693693693692,8,0.07196969696969698
copd,cms,hospitalization,Overall,Overall,204,0,0,204,5.07,0.4300000000000006,0.08946371610845286,0,0.0
copd,cms,hospitalization,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",204,148,0,56,8.57,5.8950000000000005,0.6892206426321985,40,0.7254901960784313
copd,cms,hospitalization,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",204,128,0,76,2.8899999999999997,1.31,0.5318751324032323,35,0.6274509803921569
copd,cms,hospitalization,Race/Ethnicity,"Black, non-Hispanic",204,47,0,157,10.16,2.2300000000000004,0.21719858156028363,12,0.23039215686274508
copd,cms,hospitalization,Race/Ethnicity,Hispanic,204,72,0,132,5.235,2.41,0.4675067451557518,24,0.35294117647058826
copd,cms,hospitalization,Race/Ethnicity,"White, non-Hispanic",204,0,0,204,4.875,0.45999999999999996,0.0966496450367418,0,0.0
copd,cms,hospitalization,Sex,Female,204,0,0,204,5.215,0.5999999999999996,0.11508443309209593,0,0.0
copd,cms,hospitalization,Sex,Male,204,0,0,204,4.74,0.6300000000000003,0.1405603655603656,0,0.0
copd,nvss,mortality,Overall,Overall,204,0,0,204,104.65,9.299999999999997,0.08536202092586154,0,0.0
copd,nvss,mortality,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",204,161,0,43,134.5,87.89999999999999,0.7807268272764393,43,0.7892156862745098
copd,nvss,mortality,Race/Ethnicity,"Asian, non-Hispanic",204,144,0,60,22.45,12.5,0.6691542288557213,40,0.7058823529411765
copd,nvss,mortality,Race/Ethnicity,"Black, non-Hispanic",204,58,0,146,80.25,21.799999999999997,0.2711046887578026,16,0.28431372549019607
copd,nvss,mortality,Race/Ethnicity,Hispanic,204,107,0,97,37.8,20.099999999999998,0.6077981651376145,28,0.5245098039215687
copd,nvss,mortality,Race/Ethnicity,"Multiracial, non-Hispanic",204,174,0,30,73.5,53.849999999999994,0.7603360354635211,44,0.8529411764705882
copd,nvss,mortality,Race/Ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",204,200,0,4,55.55,45.599999999999994,0.8118894830659535,50,0.9803921568627451
copd,nvss,mortality,Race/Ethnicity,"White, non-Hispanic",204,1,0,203,112.7,11.100000000000023,0.08921933085501862,1,0.004901960784313725
copd,nvss,mortality,Sex,Female,204,0,0,204,96.55,11.699999999999996,0.11724320019465616,0,0.0
copd,nvss,mortality,Sex,Male,204,0,0,204,115.25,15.34999999999999,0.12471286976995703,0,0.0
diabetes,brfss,prevalence,Overall,Overall,270,0,6,264,9.9,1.700000000000001,0.17647058823529407,0,0.0
diabetes,brfss,prevalence,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",270,152,12,106,17.15,13.0,0.851958525345622,42,0.5891472868217055
diabetes,brfss,prevalence,Race/Ethnicity,"Asian, non-Hispanic",270,177,8,85,13.0,10.3,0.8148148148148148,46,0.6755725190839694
diabetes,brfss,prevalence,Race/Ethnicity,"Black, non-Hispanic",270,70,6,194,14.7,6.65,0.44491129785247435,15,0.26515151515151514
