state,year,condition,brfss_prevalence_aa,brfss_prevalence_lo,brfss_prevalence_hi,nvss_mortality_aa,nvss_mortality_lo,nvss_mortality_hi,cms_hospitalization_aa,cms_hospitalization_lo,cms_hospitalization_hi,brfss_treatment_rate,brfss_treatment_lo,brfss_treatment_hi,brfss_treatment_question,n_suppressed
MA,2020,copd,4.0,3.4,4.6,75.5,72.4,78.5,5.76,5.6,5.93,65.9,56.1,74.4,COPD02,0
MA,2021,copd,5.3,4.7,6.0,72.9,69.9,75.9,5.79,5.63,5.96,60.3,50.5,69.3,COPD02,0
MA,2022,copd,5.1,4.6,5.7,68.3,65.5,71.2,6.22,6.05,6.4,72.5,65.1,78.9,COPD02,0
MA,2023,copd,5.2,4.6,5.9,,,,,,,70.8,61.1,79.0,COPD02,0
MD,2019,copd,4.9,4.5,5.3,79.6,76.2,83.1,7.56,7.37,7.76,67.2,60.1,73.6,COPD02,0
MD,2020,copd,4.4,4.0,4.9,75.1,71.7,78.4,4.46,4.31,4.6,69.1,61.7,75.6,COPD02,0
MD,2021,copd,4.4,3.9,4.8,66.6,63.4,69.8,4.06,3.92,4.2,68.3,61.8,74.1,COPD02,0
MD,2022,copd,4.5,4.0,4.9,65.8,62.8,68.9,4.31,4.16,4.46,71.8,63.2,79.0,COPD02,0
MD,2023,copd,5.1,4.6,5.6,,,,,,,72.5,65.6,78.4,COPD02,0
ME,2019,copd,7.8,7.0,8.6,133.3,124.9,141.8,5.56,5.2,5.92,43.4,34.900000000000006,52.4,COPD02,0
ME,2020,copd,6.9,6.3,7.6,114.3,106.6,122.1,3.73,3.43,4.04,59.3,51.5,66.8,COPD02,0
ME,2021,copd,7.6,6.8,8.3,117.9,109.9,125.8,2.82,2.55,3.09,50.5,44.8,56.3,COPD02,0
ME,2022,copd,7.4,6.7,8.2,110.1,102.7,117.5,3.21,2.91,3.51,53.7,44.9,62.4,COPD02,0
ME,2023,copd,7.3,6.6,8.0,,,,,,,60.8,53.5,67.6,COPD02,0
MI,2019,copd,7.3,6.8,8.0,121.0,117.8,124.1,12.33,12.1,12.56,51.2,44.5,58.0,COPD02,0
MI,2020,copd,7.5,6.8,8.3,115.2,112.1,118.3,7.86,7.67,8.05,61.2,53.9,68.1,COPD02,0
MI,2021,copd,7.0,6.4,7.7,109.7,106.7,112.8,7.73,7.53,7.92,62.0,55.6,67.9,COPD02,0
MI,2022,copd,8.0,7.3,8.7,106.2,103.3,109.1,8.24,8.04,8.44,59.0,50.4,67.1,COPD02,0
MI,2023,copd,7.6,7.0,8.3,,,,,,,61.7,53.5,69.3,COPD02,0
MN,2019,copd,4.0,3.6,4.3,87.2,83.5,90.9,6.77,6.52,7.01,57.2,50.7,63.4,COPD02,0
MN,2020,copd,4.1,3.7,4.5,82.6,79.0,86.2,4.28,4.08,4.48,60.0,53.0,66.7,COPD02,0
MN,2021,copd,4.2,3.8,4.6,79.7,76.1,83.2,4.16,3.96,4.36,62.7,56.4,68.6,COPD02,0
MN,2022,copd,4.7,4.3,5.2,78.9,75.5,82.4,4.69,4.48,4.91,57.1,48.6,65.2,COPD02,0
MN,2023,copd,4.0,3.6,4.4,,,,,,,61.8,54.0,68.9,COPD02,0
MO,2019,copd,7.9,7.2,8.8,129.9,125.6,134.1,9.88,9.63,10.13,46.0,39.1,53.0,COPD02,0
MO,2020,copd,7.5,6.9,8.2,130.4,126.2,134.6,6.23,6.03,6.43,54.2,47.3,60.9,COPD02,0
MO,2021,copd,7.7,7.1,8.4,125.0,120.8,129.2,6.2,6.0,6.41,60.1,53.8,66.1,COPD02,0
MO,2022,copd,7.7,6.9,8.5,127.4,123.3,131.6,6.35,6.14,6.57,62.7,56.2,68.9,COPD02,0
MO,2023,copd,7.5,6.7,8.3,,,,,,,56.0,45.1,66.3,COPD02,0
MS,2019,copd,8.8,7.8,9.8,157.1,150.2,164.1,9.54,9.22,9.86,56.0,48.1,63.7,COPD02,0
MS,2020,copd,8.0,7.2,8.9,162.7,155.7,169.7,5.53,5.28,5.77,57.5,50.9,63.9,COPD02,0
MS,2021,copd,8.4,7.4,9.5,163.9,156.7,171.1,5.01,4.77,5.25,56.2,47.7,64.3,COPD02,0
MS,2022,copd,9.8,8.6,11.2,163.4,156.4,170.4,5.01,4.77,5.25,58.5,48.9,67.5,COPD02,0
MS,2023,copd,7.0,6.0,8.1,,,,,,,64.5,55.6,72.6,COPD02,0
MT,2019,copd,5.9,5.3,6.6,143.0,132.6,153.4,4.22,3.88,4.56,50.9,42.8,59.0,COPD02,0
MT,2020,copd,5.7,5.1,6.4,119.1,109.9,128.4,2.49,2.23,2.74,55.6,45.3,65.5,COPD02,0
MT,2021,copd,5.0,4.4,5.7,107.2,98.2,116.2,2.47,2.22,2.72,53.5,43.2,63.5,COPD02,0
MT,2022,copd,5.7,5.1,6.5,110.1,101.2,118.9,2.42,2.17,2.66,52.4,41.9,62.6,COPD02,0
MT,2023,copd,6.3,5.6,7.2,,,,,,,70.0,61.8,77.1,COPD02,0
NC,2019,copd,7.0,6.2,7.9,115.6,112.5,118.8,10.32,10.12,10.52,54.1,45.2,62.7,COPD02,0
NC,2020,copd,5.7,5.1,6.5,106.2,103.3,109.2,6.46,6.3,6.62,64.5,55.6,72.6,COPD02,0
NC,2021,copd,6.8,6.0,7.8,101.0,98.0,104.0,5.72,5.57,5.88,65.0,54.3,74.3,COPD02,0
NC,2022,copd,6.7,5.8,7.9,106.0,103.0,108.9,6.6,6.43,6.76,65.2,55.6,73.8,COPD02,0
NC,2023,copd,6.2,5.2,7.3,,,,,,,58.6,46.9,69.4,COPD02,0
ND,2019,copd,4.9,4.2,5.6,97.6,86.9,108.4,4.78,4.32,5.24,71.7,62.7,79.2,COPD02,0
ND,2020,copd,5.4,4.5,6.4,96.6,85.8,107.4,2.61,2.28,2.95,56.3,46.4,65.7,COPD02,0
ND,2021,copd,4.6,3.9,5.3,92.4,81.8,103.0,3.11,2.74,3.48,58.8,47.9,68.9,COPD02,0
ND,2022,copd,5.3,4.6,6.1,84.1,74.4,93.9,2.94,2.57,3.3,57.0,44.9,68.3,COPD02,0
ND,2023,copd,4.8,4.2,5.5,,,,,,,63.1,53.7,71.7,COPD02,0
NE,2019,copd,5.2,4.8,5.7,126.8,119.1,134.5,4.9,4.62,5.18,66.9,60.1,73.0,COPD02,0
NE,2020,copd,4.7,4.3,5.2,119.9,112.4,127.3,2.65,2.44,2.86,62.0,53.6,69.7,COPD02,0
NE,2021,copd,5.1,4.7,5.6,110.8,103.6,118.1,2.32,2.12,2.51,56.6,49.4,63.6,COPD02,0
NE,2022,copd,5.0,4.4,5.6,104.0,97.1,110.8,2.61,2.4,2.83,54.9,44.0,65.2,COPD02,0
NE,2023,copd,4.9,4.5,5.4,,,,,,,62.6,55.1,69.5,COPD02,0
NH,2019,copd,5.4,4.7,6.2,110.0,101.9,118.1,5.2,4.88,5.52,57.8,45.9,68.8,COPD02,0
NH,2020,copd,5.7,5.0,6.5,92.7,85.3,100.0,3.62,3.35,3.89,48.5,39.2,57.8,COPD02,0
NH,2021,copd,6.3,5.5,7.2,98.7,91.1,106.3,2.83,2.59,3.07,61.0,52.3,69.1,COPD02,0
NH,2022,copd,5.6,4.9,6.4,98.9,91.5,106.2,2.7,2.47,2.94,65.2,51.1,77.2,COPD02,0
NH,2023,copd,6.4,5.5,7.5,,,,,,,70.5,59.8,79.3,COPD02,0
NJ,2019,copd,,,,71.1,68.4,73.7,8.87,8.68,9.06,,,,COPD02,0
NJ,2020,copd,4.4,3.9,4.9,67.4,64.9,70.0,5.2,5.05,5.34,66.5,57.9,74.1,COPD02,0
NJ,2021,copd,4.8,4.3,5.4,55.9,53.6,58.2,5.68,5.52,5.83,69.8,60.1,78.0,COPD02,0
